 Simulation of solvent flow around colloids
    Step      Temp      Etot      Ekin      Epot       P-x       P-y
    1000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.294E+03 0.406E+04
    2000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.154E+03 0.699E+04
    3000 0.100E+01 0.113E+06 0.113E+06 0.000E+00 0.169E+03 0.853E+04
    4000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.405E+03 0.103E+05
    5000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.285E+03 0.115E+05
    6000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.962E+02 0.126E+05
    7000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.343E+03 0.131E+05
    8000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.252E+03 0.137E+05
    9000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.349E+02 0.135E+05
   10000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.232E+02 0.135E+05
   11000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.300E+01 0.138E+05
   12000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.654E+02 0.139E+05
   13000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.171E+03 0.141E+05
   14000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.177E+03 0.142E+05
   15000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.186E+03 0.140E+05
   16000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.316E+03 0.140E+05
   17000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.112E+03 0.143E+05
   18000 0.998E+00 0.112E+06 0.112E+06 0.000E+00 0.488E+03 0.141E+05
   19000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.704E+02 0.139E+05
   20000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.903E+01 0.137E+05
   21000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.618E+01 0.142E+05
   22000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.199E+03 0.135E+05
   23000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.193E+03 0.139E+05
   24000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.288E+03 0.141E+05
   25000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.303E+03 0.140E+05
   26000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.145E+03 0.139E+05
   27000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.122E+03 0.142E+05
   28000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.317E+03 0.142E+05
   29000 0.100E+01 0.113E+06 0.113E+06 0.000E+00 -.743E+02 0.145E+05
   30000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.419E+03 0.141E+05
   31000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.526E+03 0.143E+05
   32000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.254E+03 0.140E+05
   33000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.627E+02 0.141E+05
   34000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.250E+03 0.139E+05
   35000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.133E+03 0.140E+05
   36000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.944E+01 0.143E+05
   37000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.131E+03 0.145E+05
   38000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.369E+03 0.141E+05
   39000 0.100E+01 0.113E+06 0.113E+06 0.000E+00 0.112E+03 0.144E+05
   40000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.395E+03 0.144E+05
   41000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.400E+02 0.141E+05
   42000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.525E+03 0.141E+05
   43000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.800E+03 0.139E+05
   44000 0.998E+00 0.112E+06 0.112E+06 0.000E+00 0.310E+02 0.136E+05
   45000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.255E+02 0.136E+05
   46000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.249E+03 0.135E+05
   47000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.128E+03 0.143E+05
   48000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.151E+03 0.134E+05
   49000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.199E+03 0.139E+05
   50000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.578E+03 0.140E+05
   51000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.616E+03 0.140E+05
   52000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.539E+03 0.136E+05
   53000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.886E+02 0.144E+05
   54000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.380E+02 0.143E+05
   55000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.131E+03 0.141E+05
   56000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.136E+03 0.142E+05
   57000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.915E+02 0.144E+05
   58000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.111E+03 0.143E+05
   59000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.696E+03 0.139E+05
   60000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.623E+03 0.139E+05
   61000 0.998E+00 0.112E+06 0.112E+06 0.000E+00 0.371E+03 0.141E+05
   62000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.332E+02 0.143E+05
   63000 0.100E+01 0.113E+06 0.113E+06 0.000E+00 -.440E+03 0.145E+05
   64000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.222E+03 0.143E+05
   65000 0.100E+01 0.113E+06 0.113E+06 0.000E+00 -.394E+02 0.139E+05
   66000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.251E+03 0.135E+05
   67000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.107E+03 0.144E+05
   68000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.213E+03 0.140E+05
   69000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.258E+03 0.141E+05
   70000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.511E+02 0.140E+05
   71000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.209E+03 0.140E+05
   72000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.442E+03 0.139E+05
   73000 0.998E+00 0.112E+06 0.112E+06 0.000E+00 0.605E+03 0.140E+05
   74000 0.998E+00 0.112E+06 0.112E+06 0.000E+00 -.259E+03 0.141E+05
   75000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.286E+02 0.138E+05
   76000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.274E+03 0.141E+05
   77000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.368E+03 0.139E+05
   78000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.621E+02 0.140E+05
   79000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.557E+02 0.136E+05
   80000 0.100E+01 0.113E+06 0.113E+06 0.000E+00 -.149E+03 0.139E+05
   81000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.133E+03 0.142E+05
   82000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.386E+03 0.141E+05
   83000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.883E+02 0.145E+05
   84000 0.100E+01 0.113E+06 0.113E+06 0.000E+00 0.266E+03 0.136E+05
   85000 0.998E+00 0.112E+06 0.112E+06 0.000E+00 -.358E+03 0.141E+05
   86000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.301E+03 0.142E+05
   87000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.263E+03 0.141E+05
   88000 0.998E+00 0.112E+06 0.112E+06 0.000E+00 -.480E+03 0.145E+05
   89000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.806E+02 0.137E+05
