  0.0000000E+00 -2.860332266922164E-005  8.991846177076887E-004
   1.000000      9.686686176155162E-006  1.710786858386505E-003
   2.000000     -4.709956014439826E-006  3.117276968833146E-003
   3.000000      7.768009397862099E-006  4.481720931753180E-003
   4.000000     -9.507692215212005E-006  5.946646990650730E-003
   5.000000      1.264379931966542E-005  7.500959281515084E-003
   6.000000     -1.976518294126162E-005  8.850606281294256E-003
   7.000000      2.171600677424825E-005  1.012823448746819E-002
   8.000000     -1.499489694121779E-005  1.143994931048875E-002
   9.000000      2.147508963640471E-005  1.246912963380645E-002
   10.00000     -1.010149999882256E-005  1.349555592713787E-002
   11.00000     -1.368419556017465E-005  1.474334769642767E-002
   12.00000      1.598936876325902E-005  1.576271445145533E-002
   13.00000     -1.230473292368576E-005  1.671655076307295E-002
   14.00000     -1.566174543201595E-006  1.768195566197729E-002
   15.00000     -3.782601059647127E-006  1.880550967804787E-002
   16.00000      2.291003349387570E-006  1.960558825693969E-002
   17.00000     -2.455706072519032E-006  2.030249154918548E-002
   18.00000      2.270424344372431E-005  2.123844809088501E-002
   19.00000     -4.059691206266954E-006  2.194777975617027E-002
   20.00000     -1.149822592953292E-005  2.265796527028831E-002
   21.00000      5.630401655865627E-006  2.334022355734188E-002
   22.00000     -1.054144273535066E-005  2.380088808243193E-002
   23.00000      7.758761239958741E-006  2.447444592042790E-002
   24.00000      1.185667585307904E-005  2.535711694718819E-002
   25.00000     -7.418207492606444E-006  2.631028032417967E-002
   26.00000      2.115455393020921E-006  2.714796163718608E-002
   27.00000     -6.898393537448635E-006  2.771684031790982E-002
   28.00000      7.762668994671934E-006  2.825682684448610E-002
   29.00000     -8.372444343007225E-007  2.895024567614547E-002
   30.00000     -2.007915819003496E-005  2.948617076660376E-002
   31.00000      2.927074181232333E-006  2.981492467251830E-002
   32.00000      6.816089051690023E-006  3.038386719440282E-002
   33.00000      5.788410060785486E-007  3.127034990275450E-002
   34.00000      7.811173433694019E-006  3.195329102259353E-002
   35.00000     -1.155681440180808E-005  3.261572924686976E-002
   36.00000      1.722437138983058E-005  3.277656447161290E-002
   37.00000     -8.395106821521691E-006  3.305373095370912E-002
   38.00000      7.307529165490177E-007  3.344396134892283E-002
   39.00000     -3.079395068555837E-006  3.372298767220198E-002
   40.00000     -6.806741428921310E-006  3.389067902021821E-002
   41.00000      5.613089989420391E-006  3.412899408817172E-002
   42.00000      8.750208549789320E-006  3.444603936262775E-002
   43.00000      2.850723114239670E-006  3.484002922846378E-002
   44.00000     -2.067718185246320E-005  3.492284173907662E-002
   45.00000     -7.445907463566518E-006  3.479909047172292E-002
   46.00000      1.679433580595151E-005  3.472831828651807E-002
   47.00000      3.028871042682339E-006  3.482652303266776E-002
   48.00000      1.102822321996353E-006  3.487602765611907E-002
   49.00000      6.485359773608172E-006  3.487547832187746E-002
   50.00000      5.032023232125014E-006  3.464067767043758E-002
   51.00000     -7.638105771034057E-006  3.458130771381323E-002
   52.00000      6.772219868277033E-006  3.436212640915894E-002
   53.00000      1.703434876731974E-006  3.434708990834992E-002
   54.00000     -1.417213277716531E-005  3.435519442935607E-002
   55.00000     -3.965609342008503E-006  3.422772042353509E-002
   56.00000      1.570512552738623E-005  3.388328417999315E-002
   57.00000     -1.950660180019951E-005  3.361827329937212E-002
   58.00000      5.235943724464708E-006  3.335887941849564E-002
   59.00000      6.334473997057572E-006  3.321997515394084E-002
   60.00000     -2.984577596502311E-006  3.291838194271327E-002
   61.00000     -9.938757932758443E-006  3.285826858448662E-002
   62.00000      2.460854207578622E-005  3.291826560733790E-002
   63.00000      3.152536041161921E-006  3.254604023144366E-002
   64.00000     -1.104277942855727E-005  3.203135278130798E-002
   65.00000      6.835415708853979E-006  3.189236380689384E-002
   66.00000     -2.291311428534233E-005  3.161136949970635E-002
   67.00000      2.023794143515155E-005  3.149009356945214E-002
   68.00000     -1.358253417806796E-005  3.093473572281966E-002
   69.00000     -9.012963391483799E-006  3.023924656417153E-002
